a,ln,ln/h,s,f'c,Dl,fyl,Dt,fyt,a/d,s/d,nu,rho_l,rho_t,rholfyl/fc,rhotfyt/fc,tau/fc,s/Dl,Vp/Vn,Ag/Ao,DS1,DS2,DS3,DS4,Vy,Vu,DS4/DS2
1600,1600,4,100,25,19,362,9,325,4.571428571,0.285714286,0.032013105,0.014176437,0.003180863,0.206753564,0.041649104,0.044223347,5.263157895,0.422882918,2.666666668,0.003147988,0.006295977,0.03097375,,94.28,101.46,
320,640,4,40,21,9,341,5,558,2.323049002,0.290381125,0.799939356,0.022150683,0.006135923,0.357674574,0.16241954,0.209520537,4.210526317,0.240901728,0.426666667,0.005394425,0.01078885,0.021624375,0.043970159,41.95,60.19,4.075518565
750,1500,6,50,28,13,374,5,506,3.323731442,0.221582096,0.105485617,0.016214639,0.003801327,0.217171937,0.068882764,0.066713329,3.937007874,0.451870224,1.041666667,0.005108796,0.010217592,0.0346,0.104362902,66.34,76.37,10.21404108
750,1500,6,50,28,13,374,5,506,3.69185331,0.246123554,0.105485617,0.016214639,0.003801327,0.217171937,0.068882764,0.060061213,3.937007874,0.441672852,1.041666667,0.003787766,0.007575533,0.023064,0.097895885,59.66,79.82,12.92264041
750,1500,6,50,28,13,374,5,506,3.69185331,0.246123554,0.105485617,0.016214639,0.003801327,0.217171937,0.068882764,0.060061213,3.937007874,0.441672852,1.041666667,0.005108796,0.010217592,0.0346,0.104362902,66.34,76.37,10.21404108
750,1500,6,50,28,13,374,5,506,3.69185331,0.246123554,0.105542977,0.016214639,0.003801327,0.217171937,0.068882764,0.060064205,3.937007874,0.441714359,1.041666667,0.001873703,0.003747406,0.006386667,0.032971852,188.65,242.55,8.798578939
1219,2438,6,127,32,19,469,6,324,3.310344828,0.344827586,0.063231742,0.025310683,0.000831058,0.36584129,0.00830246,0.035357689,6.666666667,1.45755379,4.129024,0.004177527,0.008355054,0.010877083,0.012550215,607.13,724.17,1.502110543
500,500,2.5,35,86,13,399,6,328,2.798947817,0.195933457,0.400031691,0.031669344,0.01615344,0.147541009,0.061846677,0.050666698,2.756,0.518761875,0.666664,0.00281056,0.005621121,0.009580019,0.049457877,188.65,242.55,8.798578939
500,500,2.5,35,86,13,399,6,792,2.798768542,0.195913798,0.400029832,0.038003061,0.016156762,0.177048503,0.149242386,0.081141465,2.755905512,0.298293348,0.666666667,0.002724411,0.005448822,0.03064,,203.02,228.4,
500,500,2.5,35,86,13,399,6,328,2.798947817,0.195933457,0.629079594,0.038003213,0.01615344,0.177049211,0.061846677,0.071473828,2.756,0.369261952,0.666664,0.002676157,0.005352314,0.016420033,0.02025908,188.02,221.59,3.785106964
